date,price,volume
2020-01-23,17.799237842,231068767.8893811
2020-01-22,18.149258384,295628822.80051196
2020-01-21,17.306932594,278345833.27770096
2020-01-20,17.38056363,252245860.13878244
2020-01-19,17.81258353,286482519.84381443
2020-01-18,18.037916114,297355261.72141916
2020-01-17,17.062281913,347782782.4573235
2020-01-16,17.610523288,322629240.79782736
2020-01-15,16.623428784,1227944970.790141
2020-01-14,15.170037283,267020252.8481831
2020-01-13,15.32490771,234243143.82755598
2020-01-12,14.957592627,239621110.66104692
2020-01-11,15.0365732,222836749.19061127
2020-01-10,14.359470969,174734743.94898695
2020-01-09,14.528445782,190607721.9113158
2020-01-08,15.012655445,207596968.82263637
2020-01-07,14.934826172,219317582.45007932
2020-01-06,14.025292452,225622626.2593437
2020-01-05,13.803653613,196313694.89744088
2020-01-04,13.618305714,183405684.24685052
2020-01-03,13.009996359,173270934.2645118
2020-01-02,13.703933462,174912372.79909655
2020-01-01,13.724279835,177649772.56609115
2019-12-31,13.849585091,188597319.92943677
2019-12-30,14.093596222,223834646.69636428
2019-12-29,13.655944814,219007523.9122103
2019-12-28,13.279074492,196154645.10161042
2019-12-27,13.141162924,168138989.5425538
2019-12-26,13.072816597,155809279.48640522
2019-12-25,13.344536838,170246193.42717308
2019-12-24,13.313189604,161375162.75397056
2019-12-23,13.771499312,171419657.17218697
2019-12-22,13.293915488,182411916.99976695
2019-12-21,13.503338599,176915303.85218975
2019-12-20,13.312095719,199447332.06846076
2019-12-19,13.556081837,217771982.4082108
2019-12-18,12.354701339,210228871.34630296
2019-12-17,13.447391452,174783349.04710707
2019-12-16,14.372601205,165289567.17803586
2019-12-15,14.358940551,144062872.72354335
2019-12-14,14.847894168,153964085.30006444
2019-12-13,14.705272868,148233909.6577375
2019-12-12,14.73995227,142141939.19564342
2019-12-11,14.792463885,153267002.60829684
2019-12-10,15.360219048,172145034.3560325
2019-12-09,15.586251211,179352932.61482972
2019-12-08,15.567707596,192981165.46904412
2019-12-07,15.659507868,188560435.65895316
2019-12-06,15.638494002,190859379.28390327
2019-12-05,15.132630066,213558331.1041307
2019-12-04,15.266041176,193073103.4625146
2019-12-03,15.161080629,157648138.3412022
2019-12-02,15.468335957,154904646.42411992
2019-12-01,15.727603014,171824495.5206225
2019-11-30,16.257632832,196547610.01953736
2019-11-29,15.60817256,178877850.34719267
2019-11-28,16.05645684,210988652.96501625
2019-11-27,15.332695048,199706982.67729643
2019-11-26,15.188557688,218752308.59797275
2019-11-25,15.045905042,226479531.67914054
2019-11-24,16.247524159,244820614.23908484
2019-11-23,15.49718635,273960171.51524633
2019-11-22,16.795898244,276976157.24095184
2019-11-21,18.099457125,205606803.89030135
2019-11-20,18.504938401,191261746.2322681
2019-11-19,19.149441792,221537182.36436737
2019-11-18,20.311922347,223779019.79993165
2019-11-17,20.233422449,200297881.55121714
2019-11-16,20.286020474,228168526.03940234
2019-11-15,21.287117039,232132041.71056905
2019-11-14,21.296921336,259325572.76510435
2019-11-13,20.925490252,246914091.2763396
2019-11-12,20.105533809,227083323.018635
2019-11-11,20.440221706,266114718.69879845
2019-11-10,19.727084266,259388480.75430596
2019-11-09,19.658008182,206230706.97420952
2019-11-08,20.60325029,206260952.4476564
2019-11-07,20.826740731,241052875.493679
2019-11-06,20.665781292,244028146.23117363
2019-11-05,20.693636123,269027243.74588853
2019-11-04,20.155530329,292840894.51508397
2019-11-03,20.183393881,275652718.430535
2019-11-02,19.975925794,226849866.1456762
2019-11-01,19.903469949,232125283.24856195
2019-10-31,20.033564492,252423499.60604444
2019-10-30,20.496471269,264439735.22066414
2019-10-29,19.78012248,333131238.72298884
2019-10-28,19.311178003,361956043.26192266
